name,gender,age,location,status,username,ethnicity,occupation,description,match_age,children,orientation,religion,smoking,drinking,intent,target
LBreeze,female,63 y.o.,"Spokane, WA, USA",single,LBreeze,white,Livein caregiver,I am an extremely gentle hearted kind loving soul with a childlike spirit..try to see the gift in every soul and everything …outdoors and homebody…curious..love to love..laugh..and welcome everything in between..inner knowing that I will be with my best friend soulmate..to walk hand in hand ..heart in heart the rest of this beautiful journey..life..very protective of family so no picture…5’6’..natural..slender..just me..more comfortable with tall large teddy bear ..who is also gentle hearted ..a real gentleman..honest…old fashioned values..I have so much love that I have kept for the right “one”to give,from 19 to 86,1-2 living elsewhere,Straight,Spiritual,light smoker,occasional drinker,"Friendship, Romance, Serious Relationship, Marriage",Male
Rossiii,female,27 y.o.,"Louisville, KY, USA",single,Rossiii,white,-,-,from 19 to 27,no children,Straight,Other,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",Male
Lendys,male,36 y.o.,"Bogotá, Bogota, Colombia",single,Lendys,hispanic,Ingeniero,"Ingeniero en sistemas latino con un gran sentido del humor. Me encanta trabajar duro, pero también disfruto de la vida al máximo. Soy un apasionado del arte y el deporte, siempre buscando un equilibrio entre el trabajo y la diversión. Si buscas a alguien responsable que también sepa hacerte reír, ¡aquí estoy! ????",from 28 to 35,no children,Straight,Christian,non-smoker,occasional drinker,Romance,Female
DanielVega,male,29 y.o.,"Lima, Perú",single,DanielVega,mixed,Ingeniero y pianista,"¡Paz y bien!
Soy un hombre que ama al Señor, y estoy buscando a mi media naranja.
Me pregunto que estará haciendo ella mientras yo escribo estas líneas.",from 19 to 30,want children,Straight,Christian,non-smoker,never,"Friendship, Serious Relationship, Marriage",Female
Pickles69,female,55 y.o.,"Bloomington, IL, USA",divorced,Pickles69,white,Employed Full time,-,from 55 to 65,1-2 living elsewhere,Straight,Other,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Male
Andrea1989,female,35 y.o.,"Gilbert, AZ, USA",single,Andrea1989,white,Cook,-,from 35 to 45,no children,Homosexual,Christian,non-smoker,never,"Romance, Serious Relationship, Marriage",Female
Hadaluz21,female,53 y.o.,"Floridablanca, Santander, Colombia",single,Hadaluz21,white,Docente,"soy romántica familiar, apasionada , alegre , luchadora , emprendedora , me gusta viajar, estar en casa, cocinar disfruto la vida , deseo una relacion estable duradera sincera comprometida amorosa tierna apasionada,",from 50 to 65,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,Marriage,Male
PGCanchola,male,57 y.o.,"Pueblo, CO, USA",single,PGCanchola,white,Disabled,"I'm just wanting to meet someone honest, and real. I'm a musician, and I love music. So, hmu... let's chat.",from 30 to 86,no children,Straight,Spiritual,light smoker,social drinker,"Fun, Friendship, Serious Relationship",Female
Cato81alvarado,male,43 y.o.,"Houston, Texas, EE. UU.",single,Cato81alvarado,hispanic,Operador,-,from 19 to 86,1-2 living elsewhere,Straight,Other,non-smoker,never,Serious Relationship,Female
Joss8F,male,40 y.o.,"La Chorrera, Provincia de Panamá Oeste, Panamá",single,Joss8F,hispanic,-,-,from 20 to 50,no children,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,Female
